,MSE,RMSE,R2
Random Forest Regressor,0.18893322838624646,0.434664500950154,0.0045194396797154646
Gradient Boosting Regressor,0.17719431689107845,0.42094455322652463,0.06637122876188806
Support Vector Regression,0.19990981572801228,0.447112755049565,-0.053315698219092766
