,Accuracy,Macro Precision,Macro Recall,Macro F1
Random Forest,0.6797244941885493,0.3805641518973597,0.3546132342208545,0.3321324801879985
Gradient Boosting,0.6941455015066724,0.5090867879072656,0.3633778337038982,0.3413144446761656
Extra Trees,0.6633663366336634,0.3585489344052677,0.3475584237951607,0.3279809312392761
SVC,0.4352130865260439,0.36748947349536637,0.39926623088570173,0.32172232842499304
